Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,1N4148W,D_SOD-123,32.7575,-39.3425,90,bottom
D2,1N4148W,D_SOD-123,61.3325,-39.3425,90,bottom
D3,1N4148W,D_SOD-123,80.3825,-39.3425,90,bottom
D4,1N4148W,D_SOD-123,99.4325,-39.3425,90,bottom
D5,1N4148W,D_SOD-123,118.4825,-39.3425,90,bottom
D6,1N4148W,D_SOD-123,137.5325,-39.3425,90,bottom
D7,1N4148W,D_SOD-123,156.5825,-39.3425,90,bottom
D8,1N4148W,D_SOD-123,175.6325,-39.3425,90,bottom
D9,1N4148W,D_SOD-123,32.7575,-58.3925,90,bottom
D10,1N4148W,D_SOD-123,61.3325,-58.3925,90,bottom
D11,1N4148W,D_SOD-123,80.3825,-58.3925,90,bottom
D12,1N4148W,D_SOD-123,99.4325,-58.3925,90,bottom
D13,1N4148W,D_SOD-123,118.4825,-58.3925,90,bottom
D14,1N4148W,D_SOD-123,137.5325,-58.3925,90,bottom
D15,1N4148W,D_SOD-123,156.5825,-58.3925,90,bottom
D16,1N4148W,D_SOD-123,185.1575,-58.3925,90,bottom
D17,1N4148W,D_SOD-123,204.2075,-58.3925,90,bottom
D18,1N4148W,D_SOD-123,223.2575,-58.3925,90,bottom
D19,1N4148W,D_SOD-123,242.3075,-58.3925,90,bottom
D20,1N4148W,D_SOD-123,32.7575,-77.4425,90,bottom
D21,1N4148W,D_SOD-123,61.3325,-77.4425,90,bottom
D22,1N4148W,D_SOD-123,80.3825,-77.4425,90,bottom
D23,1N4148W,D_SOD-123,99.4325,-77.4425,90,bottom
D24,1N4148W,D_SOD-123,118.4825,-77.4425,90,bottom
D25,1N4148W,D_SOD-123,137.5325,-77.4425,90,bottom
D26,1N4148W,D_SOD-123,156.5825,-77.4425,90,bottom
D27,1N4148W,D_SOD-123,185.1575,-77.4425,90,bottom
D28,1N4148W,D_SOD-123,204.2075,-77.4425,90,bottom
D29,1N4148W,D_SOD-123,223.2575,-77.4425,90,bottom
D30,1N4148W,D_SOD-123,242.3075,-77.4425,90,bottom
D31,1N4148W,D_SOD-123,32.7575,-96.4925,90,bottom
D32,1N4148W,D_SOD-123,61.3325,-96.4925,90,bottom
D33,1N4148W,D_SOD-123,80.3825,-96.4925,90,bottom
D34,1N4148W,D_SOD-123,99.4325,-96.4925,90,bottom
D35,1N4148W,D_SOD-123,118.4825,-96.4925,90,bottom
D36,1N4148W,D_SOD-123,137.5325,-96.4925,90,bottom
D37,1N4148W,D_SOD-123,156.5825,-96.4925,90,bottom
D38,1N4148W,D_SOD-123,185.1575,-96.4925,90,bottom
D39,1N4148W,D_SOD-123,204.2075,-96.4925,90,bottom
D40,1N4148W,D_SOD-123,223.2575,-96.4925,90,bottom
D41,1N4148W,D_SOD-123,242.3075,-96.4925,90,bottom
D42,1N4148W,D_SOD-123,70.8575,-115.5425,90,bottom
D43,1N4148W,D_SOD-123,89.9075,-115.5425,90,bottom
D44,1N4148W,D_SOD-123,111.826831,-117.349159,75,bottom
D45,1N4148W,D_SOD-123,130.227718,-122.279662,75,bottom
D46,1N4148W,D_SOD-123,148.628605,-127.210164,75,bottom
D47,1N4148W,D_SOD-123,167.029492,-132.140667,75,bottom
D48,1N4148W,D_SOD-123,185.1575,-115.5425,90,bottom
D49,1N4148W,D_SOD-123,204.2075,-115.5425,90,bottom
D50,1N4148W,D_SOD-123,223.2575,-115.5425,90,bottom
D51,1N4148W,D_SOD-123,242.3075,-115.5425,90,bottom
